season,order_date,ship_date,seller,customer_id,sido,sigungu,qty_10kg,qty_5kg,product,memo
2022,2022-11-14,2022-11-15,seller_A,C0001,인천,계양구,2.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-15,seller_A,C0002,서울,도봉구,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-15,seller_A,C0003,서울,도봉구,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-15,seller_A,C0004,서울,종로구,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-15,seller_A,C0005,서울,도봉구,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-15,seller_A,C0006,서울,도봉구,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-15,seller_A,C0006,서울,도봉구,0.0,1.0,노지감귤(5kg),
2022,2022-11-14,2022-11-15,seller_A,C0007,서울,도봉구,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-15,seller_A,C0008,서울,성북구,0.0,1.0,노지감귤(5kg),
2022,2022-11-14,2022-11-15,seller_A,C0009,서울,강남구,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-15,seller_A,C0010,서울,성동구,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-15,seller_A,C0011,서울,금천구,0.0,1.0,노지감귤(5kg),
2022,2022-11-14,2022-11-16,seller_A,C0012,서울,도봉구,0.0,1.0,노지감귤(5kg),
2022,2022-11-14,2022-11-16,seller_A,C0012,서울,도봉구,0.0,1.0,노지감귤(5kg),
2022,2022-11-14,2022-11-16,seller_A,C0013,서울,관악구,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0014,경기,고양시,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0015,서울,도봉구,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0016,경기,의정부시,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0017,서울,성동구,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0018,,(13005),0.0,1.0,노지감귤(5kg),
2022,2022-11-14,2022-11-16,seller_A,C0019,서울,마포구,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0020,경기,수원시,2.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0021,경기,용인시,2.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0022,서울,강남구,0.0,1.0,노지감귤(5kg),
2022,2022-11-14,2022-11-16,seller_A,C0023,서울,중랑구,0.0,1.0,노지감귤(5kg),
2022,2022-11-14,2022-11-16,seller_A,C0024,경남,창원시,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0025,서울,강동구,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0026,경기,용인시,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0027,서울,강서구,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0028,경기,남양주시,2.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0029,제주,구남동,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0030,경기,양주시,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0031,서울,도봉구,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0032,경기,김포시,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0032,충남,서산시,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0033,경기,수원시,1.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0034,서울,도봉구,4.0,0.0,노지감귤(10kg),
2022,2022-11-14,2022-11-16,seller_A,C0035,경기,성남시,1.0,0.0,노지감귤(10kg),
2022,2022-11-15,2022-11-17,seller_A,C0036,경기,용인시,1.0,0.0,노지감귤(10kg),
2022,2022-11-15,2022-11-17,seller_A,C0037,서울,도봉구,1.0,0.0,노지감귤(10kg),
2022,2022-11-15,2022-11-17,seller_A,C0038,경기,수원시,1.0,0.0,노지감귤(10kg),
2022,2022-11-15,2022-11-17,seller_A,C0039,경기,김포시,1.0,0.0,노지감귤(10kg),
2022,2022-11-15,2022-11-17,seller_A,C0040,경기,군포시,0.0,1.0,노지감귤(5kg),
2022,2022-11-15,2022-11-17,seller_A,C0041,서울,도봉구,1.0,0.0,노지감귤(10kg),
2022,2022-11-15,2022-11-17,seller_A,C0042,경기,화성시,2.0,0.0,노지감귤(10kg),
2022,2022-11-15,2022-11-17,seller_A,C0043,서울,구로구,1.0,0.0,노지감귤(10kg),
2022,2022-11-15,2022-11-17,seller_A,C0044,경기,고양시,1.0,0.0,노지감귤(10kg),
2022,2022-11-15,2022-11-17,seller_A,C0045,서울,양천구,1.0,0.0,노지감귤(10kg),
2022,2022-11-15,2022-11-17,seller_A,C0046,서울,도봉구,2.0,0.0,노지감귤(10kg),
2022,2022-11-15,2022-11-17,seller_A,C0047,충북,청주시,0.0,1.0,노지감귤(5kg),
2022,2022-11-15,2022-11-17,seller_A,C0048,경기,평택시,1.0,0.0,노지감귤(10kg),
2022,2022-11-15,2022-11-17,seller_A,C0049,서울,강북구,1.0,0.0,노지감귤(10kg),
2022,2022-11-15,2022-11-17,seller_A,C0050,서울,도봉구,0.0,1.0,노지감귤(5kg),
2022,2022-11-15,2022-11-17,seller_A,C0051,전북,남원시,1.0,0.0,노지감귤(10kg),
2022,2022-11-15,2022-11-17,seller_A,C0052,경기,의정부시,1.0,0.0,노지감귤(10kg),
2022,2022-11-15,2022-11-17,seller_A,C0053,서울,도봉구,0.0,1.0,노지감귤(5kg),
2022,2022-11-15,2022-11-17,seller_A,C0054,서울,강남구,0.0,1.0,노지감귤(5kg),
2022,2022-11-15,2022-11-17,seller_A,C0055,서울,도봉구,1.0,0.0,노지감귤(10kg),
2022,2022-11-15,2022-11-17,seller_A,C0056,경기,파주시,1.0,0.0,노지감귤(10kg),
